State,Brand,Unit,Price
Maryland,Chick-fil-A,8,3.84
Maryland,Chick-fil-A,12,5.61
Maryland,McDonald's,4,2.51
Maryland,McDonald's,10,5.66
Maryland,McDonald's,20,6.3
Maryland,McDonald's,40,11.33
Massachusetts,Burger King,4,1.45
Massachusetts,Burger King,10,3.65
Massachusetts,Burger King,20,6.09
Massachusetts,Chick-fil-A,8,3.72
Massachusetts,Chick-fil-A,12,5.43
Massachusetts,McDonald's,4,2.43
Massachusetts,McDonald's,10,5.48
Massachusetts,McDonald's,20,6.1
Massachusetts,McDonald's,40,10.97
Michigan,Burger King,4,1.27
Michigan,Burger King,10,3.2
Michigan,Burger King,20,5.34
Michigan,Chick-fil-A,8,3.26
Michigan,Chick-fil-A,12,4.76
Michigan,McDonald's,4,2.13
Michigan,McDonald's,10,4.8
Michigan,McDonald's,20,5.35
Michigan,McDonald's,40,9.62
Minnesota,Burger King,4,1.32
Minnesota,Burger King,10,3.32
Minnesota,Burger King,20,5.54
Minnesota,Chick-fil-A,8,3.39
Minnesota,Chick-fil-A,12,4.94
Minnesota,McDonald's,4,2.21
Minnesota,McDonald's,10,4.98
Minnesota,McDonald's,20,5.55
Minnesota,McDonald's,40,9.98
Mississippi,Burger King,4,1.17
Mississippi,Burger King,10,2.93
Mississippi,Burger King,20,4.89
Mississippi,Chick-fil-A,8,2.99
Mississippi,Chick-fil-A,12,4.36
Mississippi,McDonald's,4,1.95
Mississippi,McDonald's,10,4.4
Mississippi,McDonald's,20,4.9
Mississippi,McDonald's,40,8.81
Missouri,Burger King,4,1.19
Missouri,Burger King,10,2.99
Missouri,Burger King,20,4.99
Missouri,Chick-fil-A,8,3.05
Missouri,Chick-fil-A,12,4.45
Missouri,McDonald's,4,1.99
Missouri,McDonald's,10,4.49
Missouri,McDonald's,20,5
Missouri,McDonald's,40,8.99
Montana,Burger King,4,1.27
Montana,Burger King,10,3.2
Montana,Burger King,20,5.34
Montana,Chick-fil-A,8,3.26
Montana,Chick-fil-A,12,4.76
Montana,McDonald's,4,2.13
Montana,McDonald's,10,4.8
Montana,McDonald's,20,5.35
Montana,McDonald's,40,9.62
Nebraska,Burger King,4,1.21
Nebraska,Burger King,10,3.05
Nebraska,Burger King,20,5.09
Nebraska,Chick-fil-A,8,3.11
Nebraska,Chick-fil-A,12,4.54
Nebraska,McDonald's,4,2.03
Nebraska,McDonald's,10,4.58
Nebraska,McDonald's,20,5.1
Nebraska,McDonald's,40,9.17
Nevada,Burger King,4,1.32
Nevada,Burger King,10,3.32
Nevada,Burger King,20,5.54
Nevada,Chick-fil-A,8,3.39
Nevada,Chick-fil-A,12,4.94
Nevada,McDonald's,4,2.21
Nevada,McDonald's,10,4.98
Nevada,McDonald's,20,5.55
Nevada,McDonald's,40,9.98
New Hampshire,Burger King,4,1.44
New Hampshire,Burger King,10,3.62
New Hampshire,Burger King,20,6.04
New Hampshire,Chick-fil-A,8,3.69
